smiles,ie,batch,time
CNC1=NC=NOC1=O,13.706500171772745,0,8.174607086926699
COC12CCC1(O)C2O,13.283654392195103,0,8.174641611985862
CNC1=C(NC=N1)C=O,12.770369996706563,0,8.174660556949675
CCC1=COC=C1OC,13.263822897178784,0,8.174674393841997
C1OC11CCCC1,14.02052234429891,0,8.174691986991093
CCC(C)C1COCO1,13.469596685580655,0,8.17470600293018
COC1=CC(C)=C(N)N1,11.599380030130305,0,8.174721973016858
OC1CCC23CC12CO3,13.323490618390679,0,8.174737060908228
CC1OC2C3C1CC23O,13.135797692866504,0,8.174747720826417
NC(=O)C12CN1C(=O)C2,14.102770512894494,0,10.460911502828822
OC1C=CC=CC=C1,13.087326761998838,0,10.460954253794625
NC(=O)C12CN1C(=O)C2,14.102770512894494,0,12.723961693933234
NC(=O)C12CN1C(=O)C2,14.102770512894494,0,12.723992851795629
CC12CCC(C1)C(=O)C2,13.547357741146811,0,12.724011136917397
OCC1CC1OCC#C,13.41734077603121,0,12.724024381954223
CC1CCCCC(=O)C1,13.465250045692983,0,12.724035652820021
NC(=O)C12CN1CC2,13.57861021097824,1,27.349530512001365
NC(=O)C1(CC1)NC=O,13.75839367326239,1,27.34953532088548
NC(=O)C(=N)N1CCC1,12.983756809210718,1,27.34953696397133
NC(=O)C12CN1CCC2,13.376362369558933,1,27.349538726964965
NC(=O)C1(O)COC1=N,14.059313920477962,1,27.34954041079618
NC(=O)C12CCN1CC2,13.04025207633822,1,27.349544918863103
NC(=O)N1CC1,14.163240717136318,1,27.34954693284817
NC(=O)N1CCC1,13.454711310614812,1,27.349548515863717
NC(=O)C12OC1CC2=O,14.127585673742487,1,27.349553224863485
NC(=O)C1(CCC1)C=O,13.807794266289761,1,27.34955467679538
CN1CC1(C)CC(N)=O,13.032840418662545,1,27.349556450964883
N=C1OCC23CCC12N3,13.35312188296757,1,27.349557873792946
NC(=O)C(=O)N1CCC1,13.34955716758543,1,27.349559305934235
CCC1(CCC1)C(N)=O,13.384694757681245,1,27.349561059847474
CC1(COC1=N)C(N)=O,13.805463302526846,1,27.349562391871586
NC(=O)C1=C(O)NC=C1,13.061668090657918,2,42.264913053950295
NC(=O)C1=CC=NC=C1,13.3107000877759,2,42.264930435922
NC(=O)C1=CC=C(N)N1,12.62548991384233,2,42.26493707881309
CC(=O)C1=CC=C(N)N1,12.690304466975022,2,42.26493804086931
CC1CN(C(N)=O)C1=O,13.834248481482632,2,42.26493914285675
NC(=O)C1=CN2CC2C1,13.178627773197718,2,42.26494033494964
OCCC(=O)NC1CC1,13.242447540376475,2,42.26494141691364
NC(=O)C1=CNC=C1O,13.258634330133418,2,42.26494234893471
C1CC2=CC=CC=C2N1,12.23441959757406,2,42.26494342088699
NC(=O)C1=C(O)C=CN1,13.249875532450233,2,42.26494439295493
NC(=O)C1=CN=C(O)N1,13.644035780763033,2,42.264945454895496
NC(=O)C1=CNN=C1N,12.925710789018126,2,42.26494657690637
NC1=CC(=O)CN2CC12,12.776667607220702,2,42.264947638846934
NC(=O)N1CC(O)C1=O,14.145159517854268,2,42.26494935201481
NC(=O)C1=CC(O)CC1,13.464063662503918,2,42.264950543874875
OC12CC1C=CC2=O,14.028330973698417,3,57.61811629286967
OC1CC(CC1=O)C#C,13.645440887044742,3,57.61812074179761
NC(=O)C1COC11CC1,13.334021635051045,3,57.618122193962336
OC1CC2CC2(O)C1=O,13.919180735561554,3,57.61812330596149
OC1C2N3CC3C12C=O,13.601212243008035,3,57.61812538001686
NC(=O)NC1CC(=O)C1,13.670027680581597,3,57.61812670296058
OC1C2CC1(O2)C#C,14.033676488014862,3,57.61812807479873
OC1C2CC1(OC2)C#C,13.490440069844453,3,57.618129196809605
NC(=O)C12CCC1C2O,13.499279851304323,3,57.618130368879065
OC1C(O)C11NCC1=O,13.59573136290112,3,57.61813253397122
OC1CC(=O)NC1=N,14.007476380300886,3,57.61813374585472
O=C1CC2OC12C1CN1,13.705228979921571,3,57.61813499778509
CC1=C(N)C(O)CC1=O,13.105962720500429,3,57.61813632096164
OCC1=CC=CC(F)=C1,13.732535287313453,4,73.16462843888439
O=C1CCC=CC=CN1,12.914322233922348,4,73.16463564289734
O=C1C2CN2C1C1CN1,13.554638867990548,4,73.16463827784173
O=CN1N=NC(C=O)=N1,14.989460811678669,4,73.16464047180489
N=COC1CN2CC12,13.649217293648462,4,73.16464151395485
O=C1CC=C2C3CN3C12,13.500062650426344,4,73.16464385786094
NC(=O)N1C=CCC1=O,13.8557652517826,4,73.1646464029327
CC12CN1CC(O)C2=O,13.689730020283378,4,73.1646487468388
O=CCC1C2N1CC2=O,13.863154534116006,4,73.16465066093951
NC1=NON=C(F)C1=O,14.500571375993331,4,73.16465188283473
COCC1C2N1CC2=O,13.66973301981568,4,73.16465345583856
O=C1CC=CCC2CN12,13.545393124345082,4,73.16465443791822
O=C1CC2C(C3CO3)N12,13.847200594663263,4,73.1646554498002
O=C1CC=CC2CCN12,13.2434850607533,4,73.16465888591483
